LineNumber Seconds Frequency,Hz
5846 3156,324 142,80338
5847 3156,866 142,80342
5848 3157,413 142,80342
5849 3157,957 142,80341
5850 3158,486 142,80341
5851 3159,018 142,80339
5852 3159,548 142,80338
5853 3160,078 142,80338
5854 3160,618 142,80338
5855 3161,163 142,80339
5856 3161,702 142,80254
5857 3162,236 142,80241
5858 3162,769 142,80228
5859 3163,297 142,80214
5860 3163,833 142,80186
5861 3164,387 142,23906
5862 3164,933 142,23906
5863 3165,475 142,23906
5864 3166,017 142,23906
5865 3166,548 142,23907
5866 3167,081 142,23907
5867 3167,611 142,23907
5868 3168,155 142,23909
5869 3168,695 142,23907
5870 3169,245 142,23907
5871 3169,795 142,23907
5872 3170,341 142,23911
5873 3170,890 142,23911
5874 3171,424 142,23911
5875 3171,961 142,23907
5876 3172,508 142,23907
5877 3173,058 142,23907
5878 3173,601 142,23907
5879 3174,150 142,23907
5880 3174,687 142,23907
5881 3175,222 142,23911
5882 3175,757 142,22772
5883 3176,297 142,22577
5884 3176,828 142,22299
5885 3177,362 141,68605
5886 3177,893 141,68495
5887 3178,428 141,68416
5888 3178,970 141,68356
5889 3179,504 141,67932
5890 3180,035 141,67929
5891 3180,574 141,67929
5892 3181,111 141,67929
5893 3181,643 141,67926
5894 3182,173 141,67928
5895 3182,703 141,67928
5896 3183,235 141,67929
5897 3183,765 141,67929
5898 3184,301 141,67929
5899 3184,837 141,67932
5900 3185,382 141,67935
5901 3185,929 141,67932
5902 3186,471 141,67931
5903 3187,004 141,67931
5904 3187,534 141,67932
5905 3188,063 141,67586
5906 3188,593 141,67535
5907 3189,136 141,67484
5908 3189,679 141,67398
5909 3190,234 141,14053
5910 3190,765 141,13776
5911 3191,302 141,12393
5912 3191,837 141,12392
5913 3192,383 141,12392
5914 3192,924 141,12392
5915 3193,465 141,12392
5916 3194,000 141,12393
5917 3194,543 141,12393
5918 3195,085 141,12392
5919 3195,625 141,12390
5920 3196,158 141,12390
5921 3196,691 141,12389
5922 3197,219 141,12390
5923 3197,749 141,12390
5924 3198,296 141,12390
5925 3198,842 141,12387
5926 3199,374 141,12386
5927 3199,920 141,12386
5928 3200,466 141,12386
5929 3201,007 141,12384
5930 3201,557 141,12386
5931 3202,101 141,11163
5932 3202,644 141,10927
5933 3203,172 140,57996
5934 3203,707 140,57875
5935 3204,245 140,57787
5936 3204,796 140,57733
5937 3205,338 140,57281
5938 3205,883 140,57285
5939 3206,428 140,57283
5940 3206,979 140,57283
5941 3207,529 140,57285
5942 3208,072 140,57285
5943 3208,623 140,57285
5944 3209,156 140,57285
5945 3209,699 140,57285
5946 3210,246 140,57288
5947 3210,781 140,57288
5948 3211,323 140,57285
5949 3211,865 140,57285
5950 3212,394 140,57288
5951 3212,935 140,57285
5952 3213,482 140,57283
5953 3214,030 140,57196
5954 3214,575 140,57185
5955 3215,122 140,57170
5956 3215,656 140,57147
5957 3216,199 140,04648
5958 3216,745 140,02602
5959 3217,294 140,02602
5960 3217,836 140,02602
5961 3218,378 140,02603
5962 3218,907 140,02606
5963 3219,441 140,02605
5964 3219,979 140,02605
5965 3220,517 140,02605
5966 3221,060 140,02606
5967 3221,605 140,02606
5968 3222,141 140,02605
5969 3222,672 140,02605
5970 3223,212 140,02603
5971 3223,750 140,02603
5972 3224,295 140,02608
5973 3224,843 140,02608
5974 3225,386 140,02608
5975 3225,930 140,02611
5976 3226,473 140,02606
5977 3227,007 140,02188
5978 3227,551 140,02132
5979 3228,080 140,02072
5980 3228,611 140,01976
5981 3229,152 139,49890
5982 3229,698 139,49625
5983 3230,236 139,49474
5984 3230,779 139,48346
5985 3231,321 139,48347
5986 3231,867 139,48347
5987 3232,413 139,48351
5988 3232,961 139,48351
5989 3233,499 139,48352
5990 3234,044 139,48352
5991 3234,591 139,48354
5992 3235,135 139,48354
5993 3235,677 139,48352
5994 3236,210 139,48354
5995 3236,755 139,48355
5996 3237,287 139,48354
5997 3237,830 139,48352
5998 3238,359 139,48354
5999 3238,892 139,48354
6000 3239,433 139,48351
6001 3239,969 139,48354
6002 3240,499 139,48354
6003 3241,044 139,48355
6004 3241,586 139,48354
6005 3242,135 138,94518
6006 3242,684 138,94516
6007 3243,222 138,94516
6008 3243,752 138,94516
6009 3244,295 138,94516
6010 3244,838 138,94514
6011 3245,390 138,94514
6012 3245,936 138,94514
6013 3246,476 138,94516
6014 3247,022 138,94516
6015 3247,571 138,94516
6016 3248,112 138,94516
6017 3248,643 138,94516
6018 3249,183 138,94514
6019 3249,723 138,94514
6020 3250,261 138,94514
6021 3250,797 138,94514
6022 3251,342 138,94514
6023 3251,885 138,94513
6024 3252,426 138,94516
6025 3252,958 138,94516
6026 3253,506 138,94513
6027 3254,048 138,94513
6028 3254,578 138,94511
6029 3255,114 138,41095
6030 3255,653 138,41096
6031 3256,189 138,41096
6032 3256,731 138,41096
6033 3257,270 138,41096
6034 3257,801 138,41095
6035 3258,332 138,41095
6036 3258,860 138,41095
6037 3259,391 138,41098
6038 3259,921 138,41096
6039 3260,454 138,41096
6040 3260,989 138,41095
6041 3261,520 138,41095
6042 3262,053 138,41095
6043 3262,595 138,41095
6044 3263,126 138,41095
6045 3263,657 138,41095
6046 3264,201 138,41095
6047 3264,737 138,41093
6048 3265,275 138,41093
6049 3265,822 138,40784
6050 3266,360 138,40744
6051 3266,892 138,40703
6052 3267,436 138,40636
6053 3267,969 138,40540
6054 3268,502 137,89603
6055 3269,033 137,89357
6056 3269,568 137,88080
6057 3270,103 137,88078
6058 3270,649 137,88080
6059 3271,197 137,88081
6060 3271,738 137,88081
6061 3272,270 137,88083
6062 3272,801 137,88081
6063 3273,327 137,88077
6064 3273,863 137,88078
6065 3274,401 137,88077
6066 3274,942 137,88075
6067 3275,470 137,88072
6068 3276,001 137,88072
6069 3276,542 137,88069
6070 3277,081 137,88071
6071 3277,614 137,88071
6072 3278,150 137,88072
6073 3278,694 137,88075
6074 3279,234 137,88075
6075 3279,777 137,88075
6076 3280,320 137,88075
6077 3280,863 137,88075
6078 3281,393 137,35469
6079 3281,936 137,35469
6080 3282,478 137,35471
6081 3283,024 137,35471
6082 3283,563 137,35472
6083 3284,095 137,35472
6084 3284,632 137,35474
6085 3285,185 137,35474
6086 3285,720 137,35472
6087 3286,255 137,35474
6088 3286,793 137,35472
6089 3287,337 137,35471
6090 3287,880 137,35469
6091 3288,408 137,35469
6092 3288,943 137,35469
6093 3289,478 137,35466
6094 3290,027 137,35466
6095 3290,572 137,35468
6096 3291,115 137,35469
6097 3291,642 137,35468
6098 3292,175 137,35469
6099 3292,715 137,34651
6100 3293,258 137,34520
6101 3293,807 137,34337
6102 3294,352 136,84215
6103 3294,898 136,84052
6104 3295,437 136,83937
6105 3295,969 136,83867
6106 3296,499 136,83269
6107 3297,031 136,83270
6108 3297,564 136,83270
6109 3298,095 136,83269
6110 3298,633 136,83269
6111 3299,174 136,83269
6112 3299,707 136,83269
6113 3300,234 136,83270
6114 3300,775 136,83269
6115 3301,320 136,83269
6116 3301,860 136,83269
6117 3302,394 136,83270
6118 3302,933 136,83269
6119 3303,471 136,83269
6120 3304,010 136,83269
6121 3304,551 136,83269
6122 3305,092 136,83267
6123 3305,625 136,83264
6124 3306,167 136,83264
6125 3306,714 136,83263
6126 3307,257 136,31448
6127 3307,801 136,31447
6128 3308,341 136,31447
6129 3308,886 136,31445
6130 3309,426 136,31445
6131 3309,957 136,31441
6132 3310,491 136,31447
6133 3311,040 136,31442
6134 3311,585 136,31438
6135 3312,130 136,31441
6136 3312,682 136,31444
6137 3313,221 136,31445
6138 3313,755 136,31450
6139 3314,281 136,31448
6140 3314,814 136,31453
6141 3315,358 136,31451
6142 3315,895 136,31453
6143 3316,433 136,31454
6144 3316,972 136,31454
6145 3317,518 136,31458
6146 3318,047 136,31142
6147 3318,577 136,31107
6148 3319,119 136,31050
6149 3319,656 136,30994
6150 3320,191 136,30890
6151 3320,733 135,81450
6152 3321,273 135,81227
6153 3321,826 135,80025
6154 3322,366 135,80026
6155 3322,918 135,80029
6156 3323,464 135,80029
6157 3324,005 135,80029
6158 3324,533 135,80029
6159 3325,065 135,80029
6160 3325,599 135,80028
6161 3326,142 135,80031
6162 3326,676 135,80031
6163 3327,217 135,80031
6164 3327,754 135,80031
6165 3328,282 135,80029
6166 3328,813 135,80031
6167 3329,343 135,80032
6168 3329,874 135,80031
6169 3330,419 135,80031
6170 3330,967 135,80029
6171 3331,508 135,80029
6172 3332,050 135,80028
6173 3332,581 135,80028
6174 3333,112 135,80026
6175 3333,640 135,28987
6176 3334,171 135,28986
6177 3334,713 135,28987
6178 3335,259 135,28987
6179 3335,809 135,28987
6180 3336,355 135,28984
6181 3336,905 135,28984
6182 3337,441 135,28983
6183 3337,968 135,28981
6184 3338,500 135,28981
6185 3339,045 135,28981
6186 3339,582 135,28983
6187 3340,109 135,28986
6188 3340,649 135,28990
6189 3341,194 135,28993
6190 3341,739 135,28995
6191 3342,270 135,28996
6192 3342,801 135,28998
6193 3343,331 135,28998
6194 3343,861 135,28998
6195 3344,403 135,28998
6196 3344,952 135,28995
6197 3345,495 135,28993
6198 3346,036 135,28995
6199 3346,562 134,78346
6200 3347,096 134,78346
6201 3347,638 134,78346
6202 3348,185 134,78348
6203 3348,731 134,78348
6204 3349,277 134,78348
6205 3349,812 134,78345
6206 3350,349 134,78343
6207 3350,895 134,78342
6208 3351,432 134,78342
6209 3351,973 134,78339
6210 3352,502 134,78337
6211 3353,033 134,78339
6212 3353,563 134,78336
6213 3354,107 134,78339
6214 3354,642 134,78337
6215 3355,178 134,78342
6216 3355,721 134,78339
6217 3356,251 134,78337
6218 3356,787 134,78267
6219 3357,325 134,78256
6220 3357,860 134,78249
6221 3358,399 134,78232
6222 3358,950 134,78215
6223 3359,498 134,29939
6224 3360,044 134,28059
6225 3360,581 134,28059
6226 3361,114 134,28061
6227 3361,645 134,28062
6228 3362,176 134,28064
6229 3362,711 134,28065
6230 3363,259 134,28062
6231 3363,798 134,28067
6232 3364,330 134,28067
6233 3364,859 134,28067
6234 3365,391 134,28069
6235 3365,921 134,28067
6236 3366,452 134,28067
6237 3366,999 134,28065
6238 3367,534 134,28065
6239 3368,065 134,28065
6240 3368,605 134,28069
6241 3369,149 134,28069
6242 3369,694 134,28064
6243 3370,240 134,28062
6244 3370,787 134,28061
6245 3371,332 134,28059
6246 3371,865 134,28059
6247 3372,398 133,78168
6248 3372,946 133,78166
6249 3373,488 133,78165
6250 3374,024 133,78166
6251 3374,563 133,78166
6252 3375,101 133,78163
6253 3375,642 133,78163
6254 3376,187 133,78160
6255 3376,726 133,78160
6256 3377,274 133,78159
6257 3377,822 133,78160
6258 3378,368 133,78162
6259 3378,915 133,78166
6260 3379,460 133,78166
6261 3380,004 133,78168
6262 3380,545 133,78168
6263 3381,079 133,78166
6264 3381,623 133,78160
6265 3382,168 133,78162
6266 3382,718 133,78163
6267 3383,260 133,78082
6268 3383,810 133,78075
6269 3384,353 133,78056
6270 3384,894 133,78040
6271 3385,428 133,30551
6272 3385,972 133,28625
6273 3386,513 133,28625
6274 3387,060 133,28627
6275 3387,594 133,28625
6276 3388,129 133,28627
6277 3388,662 133,28619
6278 3389,209 133,28619
6279 3389,754 133,28619
6280 3390,296 133,28619
6281 3390,833 133,28624
6282 3391,359 133,28625
6283 3391,898 133,28627
6284 3392,442 133,28625
6285 3392,980 133,28627
6286 3393,516 133,28627
6287 3394,047 133,28630
6288 3394,591 133,28632
6289 3395,125 133,28632
6290 3395,658 133,28632
6291 3396,193 133,28635
6292 3396,725 133,28635
6293 3397,266 133,28636
6294 3397,804 133,28633
6295 3398,348 133,28635
6296 3398,881 132,79465
6297 3399,422 132,79465
6298 3399,952 132,79463
6299 3400,494 132,79462
6300 3401,037 132,79462
6301 3401,579 132,79463
6302 3402,123 132,79462
6303 3402,658 132,79463
6304 3403,195 132,79462
6305 3403,742 132,79462
6306 3404,289 132,79462
6307 3404,831 132,79462
6308 3405,363 132,79460
6309 3405,894 132,79462
6310 3406,427 132,79460
6311 3406,954 132,79462
6312 3407,488 132,79463
6313 3408,019 132,79462
6314 3408,554 132,79462
6315 3409,101 132,79463
6316 3409,649 132,79462
6317 3410,188 132,79462
6318 3410,724 132,79462
6319 3411,260 132,79463
6320 3411,804 132,30650
6321 3412,349 132,30650
6322 3412,880 132,30647
6323 3413,412 132,30644
6324 3413,954 132,30647
6325 3414,485 132,30647
6326 3415,016 132,30650
6327 3415,561 132,30652
6328 3416,108 132,30652
6329 3416,651 132,30650
6330 3417,190 132,30652
6331 3417,723 132,30652
6332 3418,263 132,30656
6333 3418,810 132,30658
6334 3419,359 132,30659
6335 3419,901 132,30661
6336 3420,446 132,30661
6337 3420,996 132,30666
6338 3421,540 132,30669
6339 3422,080 132,30667
6340 3422,612 132,30669
6341 3423,150 132,30667
6342 3423,698 132,30667
6343 3424,244 132,30669
6344 3424,790 131,82211
6345 3425,342 131,82211
6346 3425,888 131,82213
6347 3426,431 131,82213
6348 3426,969 131,82213
6349 3427,507 131,82213
6350 3428,057 131,82210
6351 3428,602 131,82211
6352 3429,149 131,82211
6353 3429,690 131,82214
6354 3430,223 131,82214
6355 3430,759 131,82214
6356 3431,309 131,82210
6357 3431,857 131,82207
6358 3432,403 131,82207
6359 3432,940 131,82205
6360 3433,479 131,82207
6361 3434,030 131,82207
6362 3434,567 131,82207
6363 3435,102 131,82214
6364 3435,650 131,82211
6365 3436,196 131,82208
6366 3436,738 131,82210
6367 3437,270 131,82211
6368 3437,799 131,34111
6369 3438,329 131,34109
6370 3438,859 131,34108
6371 3439,404 131,34108
6372 3439,940 131,34111
6373 3440,481 131,34109
6374 3441,028 131,34111
6375 3441,568 131,34109
6376 3442,095 131,34109
6377 3442,626 131,34111
6378 3443,159 131,34113
6379 3443,690 131,34117
6380 3444,226 131,34117
6381 3444,771 131,34119
6382 3445,306 131,34116
6383 3445,844 131,34116
6384 3446,388 131,34114
6385 3446,922 131,34117
6386 3447,465 131,34117
6387 3448,008 131,34120
6388 3448,559 131,34120
6389 3449,101 131,34120
6390 3449,654 131,34117
6391 3450,200 131,34119
6392 3450,740 130,86375
6393 3451,273 130,86375
6394 3451,812 130,86374
6395 3452,354 130,86375
6396 3452,898 130,86372
6397 3453,438 130,86374
6398 3453,972 130,86372
6399 3454,499 130,86378
6400 3455,032 130,86374
6401 3455,563 130,86372
6402 3456,104 130,86372
6403 3456,640 130,86374
6404 3457,185 130,86374
6405 3457,726 130,86374
6406 3458,271 130,86374
6407 3458,809 130,86372
6408 3459,356 130,86371
6409 3459,901 130,86374
6410 3460,446 130,86371
6411 3460,991 130,86374
6412 3461,536 130,86372
6413 3462,069 130,86372
6414 3462,621 130,86369
6415 3463,166 130,86369
6416 3463,715 130,38969
6417 3464,252 130,38969
6418 3464,783 130,38968
6419 3465,313 130,38969
6420 3465,856 130,38971
6421 3466,406 130,38972
6422 3466,937 130,38974
6423 3467,476 130,38971
6424 3468,027 130,38971
6425 3468,570 130,38974
6426 3469,116 130,38972
6427 3469,662 130,38971
6428 3470,203 130,38971
6429 3470,733 130,38971
6430 3471,270 130,38972
6431 3471,796 130,38974
6432 3472,328 130,38974
6433 3472,860 130,38974
6434 3473,390 130,38976
6435 3473,929 130,38976
6436 3474,473 130,38974
6437 3475,000 130,38976
6438 3475,533 130,38976
6439 3476,067 130,38976
6440 3476,600 129,91916
6441 3477,140 129,91916
6442 3477,672 129,91916
6443 3478,203 129,91917
6444 3478,734 129,91917
6445 3479,271 129,91916
6446 3479,800 129,91916
6447 3480,332 129,91916
6448 3480,862 129,91914
6449 3481,391 129,91914
6450 3481,922 129,91913
6451 3482,457 129,91914
6452 3482,983 129,91916
6453 3483,518 129,91914
6454 3484,050 129,91916
6455 3484,577 129,91913
6456 3485,110 129,91914
6457 3485,642 129,91913
6458 3486,179 129,91913
6459 3486,721 129,91913
6460 3487,253 129,91911
6461 3487,782 129,91908
6462 3488,316 129,91908
6463 3488,843 129,91910
6464 3489,381 129,91913
6465 3489,924 129,45192
6466 3490,456 129,45193
6467 3490,985 129,45197
6468 3491,517 129,45198
6469 3492,047 129,45198
6470 3492,580 129,45198
6471 3493,115 129,45198
6472 3493,658 129,45200
6473 3494,190 129,45198
6474 3494,720 129,45200
6475 3495,251 129,45203
6476 3495,783 129,45204
6477 3496,314 129,45204
6478 3496,844 129,45204
6479 3497,374 129,45203
6480 3497,909 129,45197
6481 3498,439 129,45197
6482 3498,977 129,45198
6483 3499,515 129,45200
6484 3500,046 129,45198
6485 3500,581 129,45198
6486 3501,108 129,45197
6487 3501,641 129,45193
6488 3502,173 129,45195
6489 3502,707 128,98813
6490 3503,234 128,98813
6491 3503,770 128,98811
6492 3504,296 128,98811
6493 3504,829 128,98811
6494 3505,358 128,98811
6495 3505,896 128,98816
6496 3506,423 128,98817
6497 3506,955 128,98813
6498 3507,483 128,98816
6499 3508,017 128,98816
6500 3508,547 128,98811
6501 3509,083 128,98814
6502 3509,612 128,98811
6503 3510,144 128,98811
6504 3510,672 128,98813
6505 3511,204 128,98814
6506 3511,734 128,98811
6507 3512,268 128,98813
6508 3512,799 128,98811
6509 3513,327 128,98813
6510 3513,858 128,98813
6511 3514,392 128,98811
6512 3514,922 128,98811
6513 3515,458 128,98811
6514 3515,985 128,52762
6515 3516,520 128,52763
6516 3517,047 128,52763
6517 3517,578 128,52765
6518 3518,109 128,52766
6519 3518,647 128,52765
6520 3519,190 128,52766
6521 3519,719 128,52763
6522 3520,261 128,52763
6523 3520,798 128,52765
6524 3521,330 128,52765
6525 3521,866 128,52766
6526 3522,409 128,52766
6527 3522,942 128,52762
6528 3523,475 128,52763
6529 3524,031 128,52765
6530 3524,575 128,52765
6531 3525,110 128,52760
6532 3525,640 128,52763
6533 3526,179 128,52492
6534 3526,727 128,52463
6535 3527,270 128,52419
6536 3527,803 128,52370
6537 3528,348 128,52304
6538 3528,882 128,08400
6539 3529,437 128,08173
6540 3529,978 128,07036
6541 3530,517 128,07031
6542 3531,051 128,07033
6543 3531,585 128,07031
6544 3532,129 128,07033
6545 3532,659 128,07033
6546 3533,187 128,07036
6547 3533,721 128,07036
6548 3534,250 128,07036
6549 3534,788 128,07031
6550 3535,342 128,07034
6551 3535,881 128,07033
6552 3536,411 128,07036
6553 3536,951 128,07036
6554 3537,491 128,07037
6555 3538,045 128,07037
6556 3538,591 128,07033
6557 3539,126 128,07033
6558 3539,660 128,07033
6559 3540,188 128,07033
6560 3540,729 128,07034
6561 3541,278 128,07034
6562 3541,823 127,61637
6563 3542,364 127,61637
6564 3542,898 127,61637
6565 3543,447 127,61636
6566 3543,990 127,61637
6567 3544,515 127,61639
6568 3545,056 127,61637
6569 3545,599 127,61639
6570 3546,141 127,61637
6571 3546,682 127,61634
6572 3547,223 127,61633
6573 3547,753 127,61633
6574 3548,296 127,61636
6575 3548,828 127,61637
6576 3549,371 127,61639
6577 3549,906 127,61636
6578 3550,440 127,61639
6579 3550,974 127,61636
6580 3551,529 127,61637
6581 3552,070 127,61636
6582 3552,610 127,61201
6583 3553,143 127,61152
6584 3553,677 127,61086
6585 3554,220 127,60983
6586 3554,750 127,17729
6587 3555,295 127,17561
6588 3555,843 127,17409
6589 3556,380 127,16555
6590 3556,914 127,16554
6591 3557,454 127,16555
6592 3557,987 127,16555
6593 3558,515 127,16557
6594 3559,050 127,16557
6595 3559,584 127,16554
6596 3560,136 127,16558
6597 3560,681 127,16554
6598 3561,218 127,16555
6599 3561,750 127,16555
6600 3562,287 127,16554
6601 3562,820 127,16553
6602 3563,366 127,16553
6603 3563,913 127,16554
6604 3564,453 127,16555
6605 3564,989 127,16555
6606 3565,524 127,16557
6607 3566,070 127,16557
6608 3566,616 127,16555
6609 3567,159 127,16555
6610 3567,692 126,71796
6611 3568,226 126,71796
6612 3568,770 126,71798
6613 3569,304 126,71799
6614 3569,847 126,71801
6615 3570,377 126,71801
6616 3570,909 126,71798
6617 3571,437 126,71796
6618 3571,982 126,71796
6619 3572,521 126,71799
6620 3573,048 126,71798
6621 3573,579 126,71798
6622 3574,109 126,71798
6623 3574,651 126,71798
6624 3575,197 126,71794
6625 3575,736 126,71795
6626 3576,270 126,71795
6627 3576,803 126,71795
6628 3577,346 126,71794
6629 3577,886 126,71795
6630 3578,429 126,71791
6631 3578,972 126,71790
6632 3579,505 126,71793
6633 3580,040 126,71793
6634 3580,587 126,71794
6635 3581,130 126,27342
6636 3581,658 126,27344
6637 3582,193 126,27342
6638 3582,731 126,27344
6639 3583,278 126,27342
6640 3583,812 126,27339
6641 3584,345 126,27341
6642 3584,879 126,27341
6643 3585,409 126,27341
6644 3585,942 126,27345
6645 3586,477 126,27342
